2022-09-08 00:28:44, tb_device_mqtt INFO Trying to connect to 10.60.3.26...
2022-09-08 00:28:44, tb_device_mqtt INFO connection SUCCESS
2022-09-08 00:28:44, tb_gateway_mqtt DEBUG Service subscription to topic v1/gateway/attributes - successfully completed.
2022-09-08 00:28:44, tb_gateway_mqtt DEBUG Service subscription to topic v1/gateway/attributes/response - successfully completed.
2022-09-08 00:28:44, tb_gateway_mqtt DEBUG Service subscription to topic v1/gateway/rpc - successfully completed.
2022-09-08 00:28:45, tb_gateway_mqtt DEBUG Connected device Bus A1
2022-09-08 00:28:50, __main__ INFO Publish Bus A1 Attribute - Color
2022-09-08 00:28:55, __main__ INFO Read Telemetry CSV. Total Record: 578
2022-09-08 00:29:02, __main__ DEBUG 0) Bus A1 {'ts': 1662568142286, 'values': {'fuel': 80, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 50, 'temp': 25, 'engine_temp': 195, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:03, __main__ DEBUG 0) Bus A1 {'ts': 1662568143295, 'values': {'fuel': 79.97, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 51.5, 'temp': 22.7, 'engine_temp': 200.9, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:04, __main__ DEBUG 0) Bus A1 {'ts': 1662568144302, 'values': {'fuel': 79.94, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 53.6, 'temp': 23.3, 'engine_temp': 201.9, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:05, __main__ DEBUG 0) Bus A1 {'ts': 1662568145309, 'values': {'fuel': 79.92, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 53.800000000000004, 'temp': 23.2, 'engine_temp': 212.9, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:06, __main__ DEBUG 0) Bus A1 {'ts': 1662568146318, 'values': {'fuel': 79.92, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 54.1, 'temp': 24.1, 'engine_temp': 205.8, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:07, __main__ DEBUG 0) Bus A1 {'ts': 1662568147328, 'values': {'fuel': 79.87, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 54.7, 'temp': 24.6, 'engine_temp': 219.4, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:08, __main__ DEBUG 0) Bus A1 {'ts': 1662568148336, 'values': {'fuel': 79.85, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 55.2, 'temp': 23.5, 'engine_temp': 215.3, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:09, __main__ DEBUG 0) Bus A1 {'ts': 1662568149348, 'values': {'fuel': 79.83, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 59.300000000000004, 'temp': 24.4, 'engine_temp': 218.7, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:10, __main__ DEBUG 0) Bus A1 {'ts': 1662568150360, 'values': {'fuel': 79.78, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 59.7, 'temp': 24.2, 'engine_temp': 201.6, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:11, __main__ DEBUG 0) Bus A1 {'ts': 1662568151366, 'values': {'fuel': 79.75, 'speed': 0, 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': 62.800000000000004, 'temp': 23.7, 'engine_temp': 198.4, 'eta': '0 min 0 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'Kent Ridge Bus Terminal', 'bus_stop_status': 'Arrived', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:14, __main__ DEBUG 1) Bus A1 {'ts': 1662568154382, 'values': {'fuel': 79.73, 'speed': 44.5, 'latitude': '1.29415', 'longitude': '103.7698', 'occupancy': 63.900000000000006, 'temp': 22.5, 'engine_temp': 209.1, 'eta': '1 min 30 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'LT 13', 'bus_stop_status': 'Next Stop', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:16, __main__ DEBUG 2) Bus A1 {'ts': 1662568156387, 'values': {'fuel': 79.73, 'speed': 59.8, 'latitude': '1.29408', 'longitude': '103.76974', 'occupancy': 63.900000000000006, 'temp': 22.7, 'engine_temp': 214.6, 'eta': '1 min 28 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'LT 13', 'bus_stop_status': 'Next Stop', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:18, __main__ DEBUG 3) Bus A1 {'ts': 1662568158390, 'values': {'fuel': 79.7, 'speed': 45.1, 'latitude': '1.29392', 'longitude': '103.7696', 'occupancy': 63.900000000000006, 'temp': 24.9, 'engine_temp': 198.9, 'eta': '1 min 26 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'LT 13', 'bus_stop_status': 'Next Stop', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:20, __main__ DEBUG 4) Bus A1 {'ts': 1662568160403, 'values': {'fuel': 79.67, 'speed': 60.0, 'latitude': '1.29387', 'longitude': '103.76954', 'occupancy': 63.900000000000006, 'temp': 24.2, 'engine_temp': 212.7, 'eta': '1 min 24 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'LT 13', 'bus_stop_status': 'Next Stop', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:22, __main__ DEBUG 5) Bus A1 {'ts': 1662568162404, 'values': {'fuel': 79.65, 'speed': 46.4, 'latitude': '1.29385', 'longitude': '103.76951', 'occupancy': 63.900000000000006, 'temp': 23.4, 'engine_temp': 198.7, 'eta': '1 min 22 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'LT 13', 'bus_stop_status': 'Next Stop', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:24, __main__ DEBUG 6) Bus A1 {'ts': 1662568164408, 'values': {'fuel': 79.63, 'speed': 44.8, 'latitude': '1.29383', 'longitude': '103.76947', 'occupancy': 63.900000000000006, 'temp': 22.9, 'engine_temp': 196.3, 'eta': '1 min 20 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'LT 13', 'bus_stop_status': 'Next Stop', 'bus_health_color': '#7FB77E'}}
2022-09-08 00:29:26, __main__ DEBUG 7) Bus A1 {'ts': 1662568166415, 'values': {'fuel': 79.61, 'speed': 52.1, 'latitude': '1.29382', 'longitude': '103.76942', 'occupancy': 63.900000000000006, 'temp': 23.0, 'engine_temp': 208.4, 'eta': '1 min 18 sec', 'health_status': 'Healthy', 'health_des': 'Operating', 'bus_stop': 'LT 13', 'bus_stop_status': 'Next Stop', 'bus_health_color': '#7FB77E'}}
