2022-09-06 17:10:04, tb_device_mqtt INFO Trying to connect to 10.60.3.26...
2022-09-06 17:10:04, tb_device_mqtt INFO connection SUCCESS
2022-09-06 17:10:04, tb_gateway_mqtt DEBUG Service subscription to topic v1/gateway/attributes - successfully completed.
2022-09-06 17:10:04, tb_gateway_mqtt DEBUG Service subscription to topic v1/gateway/attributes/response - successfully completed.
2022-09-06 17:10:04, tb_gateway_mqtt DEBUG Service subscription to topic v1/gateway/rpc - successfully completed.
2022-09-06 17:10:05, tb_gateway_mqtt DEBUG Connected device Bus A1
2022-09-06 17:10:10, __main__ INFO Publish Bus A1 Attribute - Color
2022-09-06 17:10:15, __main__ INFO Read Telemetry CSV. Total Record: 578
2022-09-06 17:10:21, __main__ DEBUG 0) Bus A1 {'ts': 1662455421371, 'values': {'status': 'on route', 'fuel': '80', 'speed': '60', 'latitude': '1.2942', 'longitude': '103.76983', 'occupancy': '79.3', 'temp': '21.0'}}
2022-09-06 17:10:22, __main__ DEBUG 1) Bus A1 {'ts': 1662455422385, 'values': {'status': 'on route', 'fuel': '80', 'speed': '59', 'latitude': '1.29415', 'longitude': '103.7698', 'occupancy': '63.7', 'temp': '23.3'}}
2022-09-06 17:10:23, __main__ DEBUG 2) Bus A1 {'ts': 1662455423392, 'values': {'status': 'on route', 'fuel': '80', 'speed': '60', 'latitude': '1.29408', 'longitude': '103.76974', 'occupancy': '83.7', 'temp': '22.7'}}
2022-09-06 17:10:24, __main__ DEBUG 3) Bus A1 {'ts': 1662455424402, 'values': {'status': 'on route', 'fuel': '80', 'speed': '53', 'latitude': '1.29392', 'longitude': '103.7696', 'occupancy': '61.0', 'temp': '21.1'}}
2022-09-06 17:10:25, __main__ DEBUG 4) Bus A1 {'ts': 1662455425416, 'values': {'status': 'on route', 'fuel': '80', 'speed': '60', 'latitude': '1.29387', 'longitude': '103.76954', 'occupancy': '60.9', 'temp': '21.9'}}
2022-09-06 17:10:26, __main__ DEBUG 5) Bus A1 {'ts': 1662455426420, 'values': {'status': 'on route', 'fuel': '80', 'speed': '60', 'latitude': '1.29385', 'longitude': '103.76951', 'occupancy': '89.8', 'temp': '25.3'}}
2022-09-06 17:10:27, __main__ DEBUG 6) Bus A1 {'ts': 1662455427423, 'values': {'status': 'on route', 'fuel': '80', 'speed': '53', 'latitude': '1.29383', 'longitude': '103.76947', 'occupancy': '52.6', 'temp': '21.9'}}
2022-09-06 17:10:28, __main__ DEBUG 7) Bus A1 {'ts': 1662455428430, 'values': {'status': 'on route', 'fuel': '80', 'speed': '57', 'latitude': '1.29382', 'longitude': '103.76942', 'occupancy': '51.7', 'temp': '23.5'}}
2022-09-06 17:10:29, __main__ DEBUG 8) Bus A1 {'ts': 1662455429440, 'values': {'status': 'on route', 'fuel': '80', 'speed': '60', 'latitude': '1.29382', 'longitude': '103.76938', 'occupancy': '66.2', 'temp': '24.1'}}
2022-09-06 17:10:30, __main__ DEBUG 9) Bus A1 {'ts': 1662455430444, 'values': {'status': 'on route', 'fuel': '80', 'speed': '54', 'latitude': '1.29382', 'longitude': '103.76932', 'occupancy': '75.8', 'temp': '25.0'}}
2022-09-06 17:10:31, __main__ DEBUG 10) Bus A1 {'ts': 1662455431458, 'values': {'status': 'on route', 'fuel': '80', 'speed': '54', 'latitude': '1.29386', 'longitude': '103.76918', 'occupancy': '87.5', 'temp': '20.6'}}
